id;nome;email;telefone;rg;cpf
1;poor ick overlooked;Melba_Schowalter42@yahoo.com;past;frenetically gosh;distance
2;delightful bog;Mya_Lakin23@hotmail.com;really;righteously dampen;aha need
3;intubate tailor;Gianni.McCullough44@yahoo.com;preface tug;pointless;boo
4;for frenetically banjo;Hazle12@yahoo.com;immediately;mispronounce why for;considering since afore
5;bail quit;Lesly.OKon59@gmail.com;sinuosity slope unused;smirk;hard-to-find closely split
6;insurance pool that;Wilford.Mayert@hotmail.com;firm supposing save;bleakly yet;happy
7;phew boohoo;Jalon_OConner32@yahoo.com;diagnose after;boastfully hence;seed whose
8;unbearably bedeck;Freddie_Buckridge@yahoo.com;cope thin;modulo;sideswipe or
9;weakly hmph;Teresa_Becker@yahoo.com;ick bumpy;unto next blister;inquisitively what curve
10;unlike woolens;Felipa.Lockman-Nikolaus@gmail.com;redraft;pamper;only psst skyscraper
