id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elenora;Dicki;Joan.Heidenreich@yahoo.com;finally against;2023-11-27T19:24:20;23405;21183
2;Guadalupe;McKenzie;Darryl_Lang85@yahoo.com;surrounds craftsman by;2023-11-28T10:53:25;19070;23736
3;Thelma;Harvey;Cornelius29@yahoo.com;until;2023-11-27T21:33:21;3144;17784
4;Kailee;Lockman;Jaida.Dietrich20@yahoo.com;although;2023-11-28T13:36:16;9849;2408
5;Kyla;McGlynn;Gust_Turner@hotmail.com;than behind sough;2023-11-28T03:35:36;895;10627
6;Tina;Spencer;Cory.Predovic74@yahoo.com;beautifully gah;2023-11-28T03:37:10;19209;13089
7;Carlo;Runolfsson;Veda.Davis90@hotmail.com;naughty;2023-11-28T02:15:55;32224;30403
8;Paxton;Powlowski;Laura71@yahoo.com;whenever geez acceptance;2023-11-28T02:24:12;32365;19055
9;Savanah;Feeney;Ernie44@yahoo.com;finally puzzled;2023-11-28T13:22:54;11373;16030
10;Tomasa;Schuppe;Mario.Glover@yahoo.com;amongst;2023-11-28T05:48:35;4722;32412
